incident_id,token_count,chunk_count,was_chunked
RCA-00001,171,1,False
RCA-00002,137,1,False
RCA-00003,161,1,False
RCA-00004,131,1,False
RCA-00005,133,1,False
RCA-00006,131,1,False
RCA-00007,165,1,False
RCA-00008,157,1,False
RCA-00009,158,1,False
RCA-00010,131,1,False
RCA-00011,156,1,False
RCA-00012,164,1,False
RCA-00013,151,1,False
RCA-00014,169,1,False
RCA-00015,131,1,False
RCA-00016,128,1,False
RCA-00017,131,1,False
RCA-00018,130,1,False
RCA-00019,159,1,False
RCA-00020,130,1,False
RCA-00021,130,1,False
RCA-00022,158,1,False
RCA-00023,130,1,False
RCA-00024,167,1,False
RCA-00025,154,1,False
RCA-00026,159,1,False
RCA-00027,152,1,False
RCA-00028,131,1,False
RCA-00029,132,1,False
RCA-00030,158,1,False
RCA-00031,164,1,False
RCA-00032,130,1,False
RCA-00033,152,1,False
RCA-00034,167,1,False
RCA-00035,134,1,False
RCA-00036,172,1,False
RCA-00037,163,1,False
RCA-00038,152,1,False
RCA-00039,166,1,False
RCA-00040,131,1,False
RCA-00041,154,1,False
RCA-00042,171,1,False
RCA-00043,162,1,False
RCA-00044,131,1,False
RCA-00045,133,1,False
RCA-00046,154,1,False
RCA-00047,157,1,False
RCA-00048,138,1,False
RCA-00049,154,1,False
RCA-00050,157,1,False
RCA-00051,156,1,False
RCA-00052,129,1,False
RCA-00053,159,1,False
RCA-00054,129,1,False
RCA-00055,131,1,False
RCA-00056,129,1,False
RCA-00057,167,1,False
RCA-00058,156,1,False
RCA-00059,158,1,False
RCA-00060,162,1,False
RCA-00061,137,1,False
RCA-00062,129,1,False
RCA-00063,154,1,False
RCA-00064,128,1,False
RCA-00065,153,1,False
RCA-00066,156,1,False
RCA-00067,180,1,False
RCA-00068,130,1,False
RCA-00069,137,1,False
RCA-00070,127,1,False
RCA-00071,159,1,False
RCA-00072,153,1,False
RCA-00073,170,1,False
RCA-00074,157,1,False
RCA-00075,164,1,False
RCA-00076,156,1,False
RCA-00077,133,1,False
RCA-00078,129,1,False
RCA-00079,158,1,False
RCA-00080,152,1,False
RCA-00081,128,1,False
RCA-00082,127,1,False
RCA-00083,133,1,False
RCA-00084,127,1,False
RCA-00085,152,1,False
RCA-00086,125,1,False
RCA-00087,127,1,False
RCA-00088,167,1,False
RCA-00089,133,1,False
RCA-00090,126,1,False
RCA-00091,133,1,False
RCA-00092,132,1,False
RCA-00093,159,1,False
RCA-00094,156,1,False
RCA-00095,128,1,False
RCA-00096,134,1,False
RCA-00097,157,1,False
RCA-00098,154,1,False
RCA-00099,130,1,False
RCA-00100,131,1,False
RCA-00101,130,1,False
RCA-00102,162,1,False
RCA-00103,158,1,False
RCA-00104,160,1,False
RCA-00105,158,1,False
RCA-00106,153,1,False
RCA-00107,160,1,False
RCA-00108,153,1,False
RCA-00109,157,1,False
RCA-00110,154,1,False
RCA-00111,159,1,False
RCA-00112,130,1,False
RCA-00113,156,1,False
RCA-00114,155,1,False
RCA-00115,159,1,False
RCA-00116,156,1,False
RCA-00117,157,1,False
RCA-00118,158,1,False
RCA-00119,179,1,False
RCA-00120,160,1,False
RCA-00121,167,1,False
RCA-00122,129,1,False
RCA-00123,127,1,False
RCA-00124,128,1,False
RCA-00125,132,1,False
RCA-00126,156,1,False
RCA-00127,180,1,False
RCA-00128,156,1,False
RCA-00129,154,1,False
RCA-00130,159,1,False
RCA-00131,162,1,False
RCA-00132,158,1,False
RCA-00133,155,1,False
RCA-00134,158,1,False
RCA-00135,181,1,False
RCA-00136,169,1,False
RCA-00137,159,1,False
RCA-00138,156,1,False
RCA-00139,129,1,False
RCA-00140,159,1,False
RCA-00141,163,1,False
RCA-00142,157,1,False
RCA-00143,152,1,False
RCA-00144,127,1,False
RCA-00145,159,1,False
RCA-00146,177,1,False
RCA-00147,130,1,False
RCA-00148,127,1,False
RCA-00149,157,1,False
RCA-00150,136,1,False
RCA-00151,161,1,False
RCA-00152,129,1,False
RCA-00153,170,1,False
RCA-00154,127,1,False
RCA-00155,170,1,False
